1440 960
GROUND X39Y9;
GROUND X39Y8;
GROUND X39Y7;
GROUND X39Y6;
GROUND X39Y5;
GROUND X39Y4;
GROUND X39Y3;
GROUND X39Y2;
GROUND X39Y1;
GROUND X39Y0;
GROUND X38Y29;
GROUND X38Y28;
GROUND X38Y27;
GROUND X38Y26;
GROUND X38Y25;
GROUND X38Y24;
GROUND X38Y23;
GROUND X38Y22;
GROUND X38Y21;
GROUND X38Y20;
GROUND X38Y19;
GROUND X38Y18;
GROUND X38Y17;
GROUND X38Y16;
GROUND X38Y15;
GROUND X38Y14;
GROUND X38Y13;
GROUND X38Y12;
GROUND X38Y11;
GROUND X38Y10;
GROUND X38Y9;
GROUND X38Y8;
GROUND X38Y7;
GROUND X38Y6;
GROUND X38Y5;
GROUND X38Y4;
GROUND X38Y3;
GROUND X38Y2;
GROUND X38Y1;
GROUND X38Y0;
GROUND X37Y29;
GROUND X37Y28;
GROUND X37Y27;
GROUND X37Y26;
GROUND X37Y25;
GROUND X37Y24;
GROUND X37Y23;
GROUND X37Y22;
GROUND X37Y21;
GROUND X37Y20;
GROUND X37Y19;
GROUND X37Y18;
GROUND X37Y17;
GROUND X37Y16;
GROUND X37Y15;
GROUND X37Y14;
GROUND X37Y13;
GROUND X37Y12;
GROUND X37Y11;
GROUND X37Y10;
GROUND X37Y9;
GROUND X37Y8;
GROUND X37Y7;
GROUND X37Y6;
GROUND X37Y5;
GROUND X37Y4;
GROUND X37Y3;
GROUND X37Y2;
GROUND X37Y1;
GROUND X37Y0;
GROUND X36Y29;
GROUND X36Y28;
GROUND X36Y27;
GROUND X36Y26;
GROUND X36Y25;
GROUND X36Y24;
GROUND X36Y23;
GROUND X36Y22;
GROUND X36Y21;
GROUND X36Y20;
GROUND X36Y19;
GROUND X36Y18;
GROUND X36Y17;
GROUND X36Y16;
GROUND X36Y15;
GROUND X36Y14;
GROUND X36Y13;
GROUND X36Y12;
GROUND X36Y11;
GROUND X36Y10;
GROUND X36Y9;
GROUND X36Y8;
GROUND X36Y7;
GROUND X36Y6;
GROUND X36Y5;
GROUND X36Y4;
GROUND X36Y3;
GROUND X36Y2;
GROUND X36Y1;
GROUND X36Y0;
GROUND X35Y29;
GROUND X35Y28;
GROUND X35Y27;
GROUND X35Y26;
GROUND X35Y25;
GROUND X35Y24;
GROUND X35Y23;
GROUND X35Y22;
GROUND X35Y21;
GROUND X35Y20;
GROUND X35Y19;
GROUND X35Y18;
GROUND X35Y17;
GROUND X35Y16;
GROUND X35Y15;
GROUND X35Y14;
GROUND X35Y13;
GROUND X35Y12;
GROUND X35Y11;
GROUND X35Y10;
GROUND X35Y9;
GROUND X35Y8;
GROUND X35Y7;
GROUND X35Y6;
GROUND X35Y5;
GROUND X35Y4;
GROUND X35Y3;
GROUND X35Y2;
GROUND X35Y1;
GROUND X35Y0;
GROUND X34Y29;
GROUND X34Y28;
GROUND X34Y27;
GROUND X34Y26;
GROUND X34Y25;
GROUND X34Y24;
GROUND X34Y23;
GROUND X34Y22;
GROUND X34Y21;
GROUND X34Y20;
GROUND X34Y19;
GROUND X34Y18;
GROUND X34Y17;
GROUND X34Y16;
GROUND X34Y15;
GROUND X34Y14;
GROUND X34Y13;
GROUND X34Y12;
GROUND X34Y11;
GROUND X34Y10;
GROUND X34Y9;
GROUND X34Y8;
GROUND X34Y7;
GROUND X34Y6;
GROUND X34Y5;
GROUND X34Y4;
GROUND X34Y3;
GROUND X34Y2;
GROUND X34Y1;
GROUND X34Y0;
GROUND X33Y29;
GROUND X33Y28;
GROUND X33Y27;
GROUND X33Y26;
GROUND X33Y25;
GROUND X33Y24;
GROUND X33Y23;
GROUND X33Y22;
GROUND X33Y21;
GROUND X33Y20;
GROUND X33Y19;
GROUND X33Y18;
GROUND X33Y17;
GROUND X33Y16;
GROUND X33Y15;
GROUND X33Y14;
GROUND X33Y13;
GROUND X33Y12;
GROUND X33Y11;
GROUND X33Y10;
GROUND X33Y9;
GROUND X33Y8;
GROUND X33Y7;
GROUND X33Y6;
GROUND X33Y5;
GROUND X33Y4;
GROUND X33Y3;
GROUND X33Y2;
GROUND X33Y1;
GROUND X33Y0;
GROUND X32Y29;
GROUND X32Y28;
GROUND X32Y27;
GROUND X32Y26;
GROUND X32Y25;
GROUND X32Y24;
GROUND X32Y23;
GROUND X32Y22;
GROUND X32Y21;
GROUND X32Y20;
GROUND X32Y19;
GROUND X32Y18;
GROUND X32Y17;
GROUND X32Y16;
GROUND X32Y15;
GROUND X32Y14;
GROUND X32Y13;
GROUND X32Y12;
GROUND X32Y11;
GROUND X32Y10;
GROUND X32Y9;
GROUND X32Y8;
GROUND X32Y7;
GROUND X32Y6;
GROUND X32Y5;
GROUND X32Y4;
GROUND X32Y3;
GROUND X32Y2;
GROUND X32Y1;
GROUND X32Y0;
GROUND X31Y29;
GROUND X31Y28;
GROUND X31Y27;
GROUND X31Y26;
GROUND X31Y25;
GROUND X31Y24;
GROUND X31Y23;
GROUND X31Y22;
GROUND X31Y21;
GROUND X31Y20;
GROUND X31Y19;
GROUND X31Y18;
GROUND X31Y17;
GROUND X31Y16;
GROUND X31Y15;
GROUND X31Y14;
GROUND X31Y13;
GROUND X31Y12;
GROUND X31Y11;
GROUND X31Y10;
GROUND X31Y9;
GROUND X31Y8;
GROUND X31Y7;
GROUND X31Y6;
GROUND X31Y5;
GROUND X31Y4;
GROUND X31Y3;
GROUND X31Y2;
GROUND X31Y1;
GROUND X31Y0;
GROUND X30Y29;
GROUND X30Y28;
GROUND X30Y27;
GROUND X30Y26;
GROUND X30Y25;
GROUND X30Y24;
GROUND X30Y23;
GROUND X30Y22;
GROUND X30Y21;
GROUND X30Y20;
GROUND X30Y19;
GROUND X30Y18;
GROUND X30Y17;
GROUND X30Y16;
GROUND X30Y15;
GROUND X30Y14;
GROUND X30Y13;
GROUND X30Y12;
GROUND X30Y11;
GROUND X30Y10;
GROUND X30Y9;
GROUND X30Y8;
GROUND X30Y7;
GROUND X30Y6;
GROUND X30Y5;
GROUND X30Y4;
GROUND X30Y3;
GROUND X30Y2;
GROUND X30Y1;
GROUND X30Y0;
GROUND X29Y29;
GROUND X29Y28;
GROUND X29Y27;
GROUND X29Y26;
GROUND X29Y25;
GROUND X29Y24;
GROUND X29Y23;
GROUND X29Y22;
GROUND X29Y21;
GROUND X29Y20;
GROUND X29Y19;
GROUND X29Y18;
GROUND X29Y17;
GROUND X29Y16;
GROUND X29Y15;
GROUND X29Y14;
GROUND X29Y13;
GROUND X29Y12;
GROUND X29Y11;
GROUND X29Y10;
GROUND X29Y9;
GROUND X29Y8;
GROUND X29Y7;
GROUND X29Y6;
GROUND X29Y5;
GROUND X29Y4;
GROUND X29Y3;
GROUND X29Y2;
GROUND X29Y1;
GROUND X29Y0;
GROUND X28Y29;
GROUND X28Y28;
GROUND X28Y27;
GROUND X28Y26;
GROUND X28Y25;
GROUND X28Y24;
GROUND X28Y23;
GROUND X28Y22;
GROUND X28Y21;
GROUND X28Y20;
GROUND X28Y19;
GROUND X28Y18;
GROUND X28Y17;
GROUND X28Y16;
GROUND X28Y15;
GROUND X28Y14;
GROUND X28Y13;
GROUND X28Y12;
GROUND X28Y11;
GROUND X28Y10;
GROUND X28Y9;
GROUND X28Y8;
GROUND X28Y7;
GROUND X28Y6;
GROUND X28Y5;
GROUND X28Y4;
GROUND X28Y3;
GROUND X28Y2;
GROUND X28Y1;
GROUND X28Y0;
GROUND X27Y29;
GROUND X27Y28;
GROUND X27Y27;
GROUND X27Y26;
GROUND X27Y25;
GROUND X27Y24;
GROUND X27Y23;
GROUND X27Y22;
GROUND X27Y21;
GROUND X27Y20;
GROUND X27Y19;
GROUND X27Y18;
GROUND X27Y17;
GROUND X27Y16;
GROUND X27Y15;
GROUND X27Y14;
GROUND X27Y13;
GROUND X27Y12;
GROUND X27Y11;
GROUND X27Y10;
GROUND X27Y9;
GROUND X27Y8;
GROUND X27Y7;
GROUND X27Y6;
GROUND X27Y5;
GROUND X27Y4;
GROUND X27Y3;
GROUND X27Y2;
GROUND X27Y1;
GROUND X27Y0;
GROUND X26Y29;
GROUND X26Y28;
GROUND X26Y27;
GROUND X26Y26;
GROUND X26Y25;
GROUND X26Y24;
GROUND X26Y23;
GROUND X26Y22;
GROUND X26Y21;
GROUND X26Y20;
GROUND X26Y19;
GROUND X26Y18;
GROUND X26Y17;
GROUND X26Y16;
GROUND X26Y15;
GROUND X26Y14;
GROUND X26Y13;
GROUND X26Y12;
GROUND X26Y11;
GROUND X26Y10;
GROUND X26Y9;
GROUND X26Y8;
GROUND X26Y7;
GROUND X26Y6;
GROUND X26Y5;
GROUND X26Y4;
GROUND X26Y3;
GROUND X26Y2;
GROUND X26Y1;
GROUND X26Y0;
GROUND X25Y29;
GROUND X25Y28;
GROUND X25Y27;
GROUND X25Y26;
GROUND X25Y25;
GROUND X25Y24;
GROUND X25Y23;
GROUND X25Y22;
GROUND X25Y21;
GROUND X25Y20;
GROUND X25Y19;
GROUND X25Y18;
GROUND X25Y17;
GROUND X25Y16;
GROUND X25Y15;
GROUND X25Y14;
GROUND X25Y13;
GROUND X25Y12;
GROUND X25Y11;
GROUND X25Y10;
GROUND X25Y9;
GROUND X25Y8;
GROUND X25Y7;
GROUND X25Y6;
GROUND X25Y5;
GROUND X25Y4;
GROUND X25Y3;
GROUND X25Y2;
GROUND X25Y1;
GROUND X25Y0;
GROUND X24Y29;
GROUND X24Y28;
GROUND X24Y27;
GROUND X24Y26;
GROUND X24Y25;
GROUND X24Y24;
GROUND X24Y23;
GROUND X24Y22;
GROUND X24Y21;
GROUND X24Y20;
GROUND X24Y19;
GROUND X24Y18;
GROUND X24Y17;
GROUND X24Y16;
GROUND X24Y15;
GROUND X24Y14;
GROUND X24Y13;
GROUND X24Y12;
GROUND X24Y11;
GROUND X24Y10;
GROUND X24Y9;
GROUND X24Y8;
GROUND X24Y7;
GROUND X24Y6;
GROUND X24Y5;
GROUND X24Y4;
GROUND X24Y3;
GROUND X24Y2;
GROUND X24Y1;
GROUND X24Y0;
GROUND X23Y29;
GROUND X23Y28;
GROUND X23Y27;
GROUND X23Y26;
GROUND X23Y25;
GROUND X23Y24;
GROUND X23Y23;
GROUND X23Y22;
GROUND X23Y21;
GROUND X23Y20;
GROUND X23Y19;
GROUND X23Y18;
GROUND X23Y17;
GROUND X23Y16;
GROUND X23Y15;
GROUND X23Y14;
GROUND X23Y13;
GROUND X23Y12;
GROUND X23Y11;
GROUND X23Y10;
GROUND X23Y9;
GROUND X23Y8;
GROUND X23Y7;
GROUND X23Y6;
GROUND X23Y5;
GROUND X23Y4;
GROUND X23Y3;
GROUND X23Y2;
GROUND X23Y1;
GROUND X23Y0;
GROUND X22Y29;
GROUND X22Y28;
GROUND X22Y27;
GROUND X22Y26;
GROUND X22Y25;
GROUND X22Y24;
GROUND X22Y23;
GROUND X22Y22;
GROUND X22Y21;
GROUND X22Y20;
GROUND X22Y19;
GROUND X22Y18;
GROUND X22Y17;
GROUND X22Y16;
GROUND X22Y15;
GROUND X22Y14;
GROUND X22Y13;
GROUND X22Y12;
GROUND X22Y11;
GROUND X22Y10;
GROUND X22Y9;
GROUND X22Y8;
GROUND X22Y7;
GROUND X22Y6;
GROUND X22Y5;
GROUND X22Y4;
GROUND X22Y3;
GROUND X22Y2;
GROUND X22Y1;
GROUND X22Y0;
GROUND X21Y29;
GROUND X21Y28;
GROUND X21Y27;
GROUND X21Y26;
GROUND X21Y25;
GROUND X21Y24;
GROUND X21Y23;
GROUND X21Y22;
GROUND X21Y21;
GROUND X21Y20;
GROUND X21Y19;
GROUND X21Y18;
GROUND X21Y17;
GROUND X21Y16;
GROUND X21Y15;
GROUND X21Y14;
GROUND X21Y13;
GROUND X21Y12;
GROUND X21Y11;
GROUND X21Y10;
GROUND X21Y9;
GROUND X21Y8;
GROUND X21Y7;
GROUND X21Y6;
GROUND X21Y5;
GROUND X21Y4;
GROUND X21Y3;
GROUND X21Y2;
GROUND X21Y1;
GROUND X21Y0;
GROUND X20Y29;
GROUND X20Y28;
GROUND X20Y27;
GROUND X20Y26;
GROUND X20Y25;
GROUND X20Y24;
GROUND X20Y23;
GROUND X20Y22;
GROUND X20Y21;
GROUND X20Y20;
GROUND X20Y19;
GROUND X20Y18;
GROUND X20Y17;
GROUND X20Y16;
GROUND X20Y15;
GROUND X20Y14;
GROUND X20Y13;
GROUND X20Y12;
GROUND X20Y11;
GROUND X20Y10;
GROUND X20Y9;
GROUND X20Y8;
GROUND X20Y7;
GROUND X20Y6;
GROUND X20Y5;
GROUND X20Y4;
GROUND X20Y3;
GROUND X20Y2;
GROUND X20Y1;
GROUND X20Y0;
GROUND X19Y29;
GROUND X19Y28;
GROUND X19Y27;
GROUND X19Y26;
GROUND X19Y25;
GROUND X19Y24;
GROUND X19Y23;
GROUND X19Y22;
GROUND X19Y21;
GROUND X19Y20;
GROUND X19Y19;
GROUND X19Y18;
GROUND X19Y17;
GROUND X19Y16;
GROUND X19Y15;
GROUND X19Y14;
GROUND X19Y13;
GROUND X19Y12;
GROUND X19Y11;
GROUND X19Y10;
GROUND X19Y9;
GROUND X19Y8;
GROUND X19Y7;
GROUND X19Y6;
GROUND X19Y5;
GROUND X19Y4;
GROUND X19Y3;
GROUND X19Y2;
GROUND X19Y1;
GROUND X19Y0;
GROUND X18Y29;
GROUND X18Y28;
GROUND X18Y27;
GROUND X18Y26;
GROUND X18Y25;
GROUND X18Y24;
GROUND X18Y23;
GROUND X18Y22;
GROUND X18Y21;
GROUND X18Y20;
GROUND X18Y19;
GROUND X18Y18;
GROUND X18Y17;
GROUND X18Y16;
GROUND X18Y15;
GROUND X18Y14;
GROUND X18Y13;
GROUND X18Y12;
GROUND X18Y11;
GROUND X18Y10;
GROUND X18Y9;
GROUND X18Y8;
GROUND X18Y7;
GROUND X18Y6;
GROUND X18Y5;
GROUND X18Y4;
GROUND X18Y3;
GROUND X18Y2;
GROUND X18Y1;
GROUND X18Y0;
GROUND X17Y29;
GROUND X17Y28;
GROUND X17Y27;
GROUND X17Y26;
GROUND X17Y25;
GROUND X17Y24;
GROUND X17Y23;
GROUND X17Y22;
GROUND X17Y21;
GROUND X17Y20;
GROUND X17Y19;
GROUND X17Y18;
GROUND X17Y17;
GROUND X17Y16;
GROUND X17Y15;
GROUND X17Y14;
GROUND X17Y13;
GROUND X17Y12;
GROUND X17Y11;
GROUND X17Y10;
GROUND X17Y9;
GROUND X17Y8;
GROUND X17Y7;
GROUND X17Y6;
GROUND X17Y5;
GROUND X17Y4;
GROUND X17Y3;
GROUND X17Y2;
GROUND X17Y1;
GROUND X17Y0;
GROUND X16Y29;
GROUND X16Y28;
GROUND X16Y27;
GROUND X16Y26;
GROUND X16Y25;
GROUND X16Y24;
GROUND X16Y23;
GROUND X16Y22;
GROUND X16Y21;
GROUND X16Y20;
GROUND X16Y19;
GROUND X16Y18;
GROUND X16Y17;
GROUND X16Y16;
GROUND X16Y15;
GROUND X16Y14;
GROUND X16Y13;
GROUND X16Y12;
GROUND X16Y11;
GROUND X16Y10;
GROUND X16Y9;
GROUND X16Y8;
GROUND X16Y7;
GROUND X16Y6;
GROUND X16Y5;
GROUND X16Y4;
GROUND X16Y3;
GROUND X16Y2;
GROUND X16Y1;
GROUND X16Y0;
GROUND X15Y29;
GROUND X15Y28;
GROUND X15Y27;
GROUND X15Y26;
GROUND X15Y25;
GROUND X15Y24;
GROUND X15Y23;
GROUND X15Y22;
GROUND X15Y21;
GROUND X15Y20;
GROUND X15Y19;
GROUND X15Y18;
GROUND X15Y17;
GROUND X15Y16;
GROUND X15Y15;
GROUND X15Y14;
GROUND X15Y13;
GROUND X15Y12;
GROUND X15Y11;
GROUND X15Y10;
GROUND X15Y9;
GROUND X15Y8;
GROUND X15Y7;
GROUND X15Y6;
GROUND X15Y5;
GROUND X15Y4;
GROUND X15Y3;
GROUND X15Y2;
GROUND X15Y1;
GROUND X15Y0;
GROUND X14Y29;
GROUND X14Y28;
GROUND X14Y27;
GROUND X14Y26;
GROUND X14Y25;
GROUND X14Y24;
GROUND X14Y23;
GROUND X14Y22;
GROUND X14Y21;
GROUND X14Y20;
GROUND X14Y19;
GROUND X14Y18;
GROUND X14Y17;
GROUND X14Y16;
GROUND X14Y15;
GROUND X14Y14;
GROUND X14Y13;
GROUND X14Y12;
GROUND X14Y11;
GROUND X14Y10;
GROUND X14Y9;
GROUND X14Y8;
GROUND X14Y7;
GROUND X14Y6;
GROUND X14Y5;
GROUND X14Y4;
GROUND X14Y3;
GROUND X14Y2;
GROUND X14Y1;
GROUND X14Y0;
GROUND X13Y29;
GROUND X13Y28;
GROUND X13Y27;
GROUND X13Y26;
GROUND X13Y25;
GROUND X13Y24;
GROUND X13Y23;
GROUND X13Y22;
GROUND X13Y21;
GROUND X13Y20;
GROUND X13Y19;
GROUND X13Y18;
GROUND X13Y17;
GROUND X13Y16;
GROUND X13Y15;
GROUND X13Y14;
GROUND X13Y13;
GROUND X13Y12;
GROUND X13Y11;
GROUND X13Y10;
GROUND X13Y9;
GROUND X13Y8;
GROUND X13Y7;
GROUND X13Y6;
GROUND X13Y5;
GROUND X13Y4;
GROUND X13Y3;
GROUND X13Y2;
GROUND X13Y1;
GROUND X13Y0;
GROUND X12Y29;
GROUND X12Y28;
GROUND X12Y27;
GROUND X12Y26;
GROUND X12Y25;
GROUND X12Y24;
GROUND X12Y23;
GROUND X12Y22;
GROUND X12Y21;
GROUND X12Y20;
GROUND X12Y19;
GROUND X12Y18;
GROUND X12Y17;
GROUND X12Y16;
GROUND X12Y15;
GROUND X12Y14;
GROUND X12Y13;
GROUND X12Y12;
GROUND X12Y11;
GROUND X12Y10;
GROUND X12Y9;
GROUND X12Y8;
GROUND X12Y7;
GROUND X12Y6;
GROUND X12Y5;
GROUND X12Y4;
GROUND X12Y3;
GROUND X12Y2;
GROUND X12Y1;
GROUND X12Y0;
GROUND X11Y29;
GROUND X11Y28;
GROUND X11Y27;
GROUND X11Y26;
GROUND X11Y25;
GROUND X11Y24;
GROUND X11Y23;
GROUND X11Y22;
GROUND X11Y21;
GROUND X11Y20;
GROUND X11Y19;
GROUND X11Y18;
GROUND X11Y17;
GROUND X11Y16;
GROUND X11Y15;
GROUND X11Y14;
GROUND X11Y13;
GROUND X11Y12;
GROUND X11Y11;
GROUND X11Y10;
GROUND X11Y9;
GROUND X11Y8;
GROUND X11Y7;
GROUND X11Y6;
GROUND X11Y5;
GROUND X11Y4;
GROUND X11Y3;
GROUND X11Y2;
GROUND X11Y1;
GROUND X11Y0;
GROUND X10Y29;
GROUND X10Y28;
GROUND X10Y27;
GROUND X10Y26;
GROUND X10Y25;
GROUND X10Y24;
GROUND X10Y23;
GROUND X10Y22;
GROUND X10Y21;
GROUND X10Y20;
GROUND X10Y19;
GROUND X10Y18;
GROUND X10Y17;
GROUND X10Y16;
GROUND X10Y15;
GROUND X10Y14;
GROUND X10Y13;
GROUND X10Y12;
GROUND X10Y11;
GROUND X10Y10;
GROUND X10Y9;
GROUND X10Y8;
GROUND X10Y7;
GROUND X10Y6;
GROUND X10Y5;
GROUND X10Y4;
GROUND X10Y3;
GROUND X10Y2;
GROUND X10Y1;
GROUND X10Y0;
GROUND X9Y29;
GROUND X9Y28;
GROUND X9Y27;
GROUND X9Y26;
GROUND X9Y25;
GROUND X9Y24;
GROUND X9Y23;
GROUND X9Y22;
GROUND X9Y21;
GROUND X9Y20;
GROUND X9Y19;
GROUND X9Y18;
GROUND X9Y17;
GROUND X9Y16;
GROUND X9Y15;
GROUND X9Y14;
GROUND X9Y13;
GROUND X9Y12;
GROUND X9Y11;
GROUND X9Y10;
GROUND X9Y9;
GROUND X9Y8;
GROUND X9Y7;
GROUND X9Y6;
GROUND X9Y5;
GROUND X9Y4;
GROUND X9Y3;
GROUND X9Y2;
GROUND X9Y1;
GROUND X9Y0;
GROUND X8Y29;
GROUND X8Y28;
GROUND X8Y27;
GROUND X8Y26;
GROUND X8Y25;
GROUND X8Y24;
GROUND X8Y23;
GROUND X8Y22;
GROUND X8Y21;
GROUND X8Y20;
GROUND X8Y19;
GROUND X8Y18;
GROUND X8Y17;
GROUND X8Y16;
GROUND X8Y15;
GROUND X8Y14;
GROUND X8Y13;
GROUND X8Y12;
GROUND X8Y11;
GROUND X8Y10;
GROUND X8Y9;
GROUND X8Y8;
GROUND X8Y7;
GROUND X8Y6;
GROUND X8Y5;
GROUND X8Y4;
GROUND X8Y3;
GROUND X8Y2;
GROUND X8Y1;
GROUND X8Y0;
GROUND X7Y29;
GROUND X7Y28;
GROUND X7Y27;
GROUND X7Y26;
GROUND X7Y25;
GROUND X7Y24;
GROUND X7Y23;
GROUND X7Y22;
GROUND X7Y21;
GROUND X7Y20;
GROUND X7Y19;
GROUND X7Y18;
GROUND X7Y17;
GROUND X7Y16;
GROUND X7Y15;
GROUND X7Y14;
GROUND X7Y13;
GROUND X7Y12;
GROUND X7Y11;
GROUND X7Y10;
GROUND X7Y9;
GROUND X7Y8;
GROUND X7Y7;
GROUND X7Y6;
GROUND X7Y5;
GROUND X7Y4;
GROUND X7Y3;
GROUND X7Y2;
GROUND X7Y1;
GROUND X7Y0;
GROUND X6Y29;
GROUND X6Y28;
GROUND X6Y27;
GROUND X6Y26;
GROUND X6Y25;
GROUND X6Y24;
GROUND X6Y23;
GROUND X6Y22;
GROUND X6Y21;
GROUND X6Y20;
GROUND X6Y19;
GROUND X6Y18;
GROUND X6Y17;
GROUND X6Y16;
GROUND X6Y15;
GROUND X6Y14;
GROUND X6Y13;
GROUND X6Y12;
GROUND X6Y11;
GROUND X6Y10;
GROUND X6Y9;
GROUND X6Y8;
GROUND X6Y7;
GROUND X6Y6;
GROUND X6Y5;
GROUND X6Y4;
GROUND X6Y3;
GROUND X6Y2;
GROUND X6Y1;
GROUND X6Y0;
GROUND X5Y29;
GROUND X5Y28;
GROUND X5Y27;
GROUND X5Y26;
GROUND X5Y25;
GROUND X5Y24;
GROUND X5Y23;
GROUND X5Y22;
GROUND X5Y21;
GROUND X5Y20;
GROUND X5Y19;
GROUND X5Y18;
GROUND X5Y17;
GROUND X5Y16;
GROUND X5Y15;
GROUND X5Y14;
GROUND X5Y13;
GROUND X5Y12;
GROUND X5Y11;
GROUND X5Y10;
GROUND X5Y9;
GROUND X5Y8;
GROUND X5Y7;
GROUND X5Y6;
GROUND X5Y5;
GROUND X5Y4;
GROUND X5Y3;
GROUND X5Y2;
GROUND X5Y1;
GROUND X5Y0;
GROUND X4Y29;
GROUND X4Y28;
GROUND X4Y27;
GROUND X4Y26;
GROUND X4Y25;
GROUND X4Y24;
GROUND X4Y23;
GROUND X4Y22;
GROUND X4Y21;
GROUND X4Y20;
GROUND X4Y19;
GROUND X4Y18;
GROUND X4Y17;
GROUND X4Y16;
GROUND X4Y15;
GROUND X4Y14;
GROUND X4Y13;
GROUND X4Y12;
GROUND X4Y11;
GROUND X4Y10;
GROUND X4Y9;
GROUND X4Y8;
GROUND X4Y7;
GROUND X4Y6;
GROUND X4Y5;
GROUND X4Y4;
GROUND X4Y3;
GROUND X4Y2;
GROUND X4Y1;
GROUND X4Y0;
GROUND X3Y29;
GROUND X3Y28;
GROUND X3Y27;
GROUND X3Y26;
GROUND X3Y25;
GROUND X3Y24;
GROUND X3Y23;
GROUND X3Y22;
GROUND X3Y21;
GROUND X3Y20;
GROUND X3Y19;
GROUND X3Y18;
GROUND X3Y17;
GROUND X3Y16;
GROUND X3Y15;
GROUND X3Y14;
GROUND X3Y13;
GROUND X3Y12;
GROUND X3Y11;
GROUND X3Y10;
GROUND X3Y9;
GROUND X3Y8;
GROUND X3Y7;
GROUND X3Y6;
GROUND X3Y5;
GROUND X3Y4;
GROUND X3Y3;
GROUND X3Y2;
GROUND X3Y1;
GROUND X3Y0;
GROUND X2Y29;
GROUND X2Y28;
GROUND X2Y27;
GROUND X2Y26;
GROUND X2Y25;
GROUND X2Y24;
GROUND X2Y23;
GROUND X2Y22;
GROUND X2Y21;
GROUND X2Y20;
GROUND X2Y19;
